Episode,Reward,Steps,Loss,Avg_Q,Epsilon,Success,Collision,Termination,Obstacle_Count
129,-16.0,17,1.500391960144043,3.423689842224121,0.6807384224674947,0,1,Collision,8
130,-13.0,21,7.958952903747559,-0.2846705913543701,0.6786962072000923,0,1,Collision,8
131,-17.0,14,6.2374396324157715,7.397437572479248,0.676660118578492,0,1,Collision,8
132,-18.0,13,14.12543773651123,-4.200704097747803,0.6746301382227565,0,1,Collision,8
133,-20.0,21,8.565052032470703,3.9190242290496826,0.6726062478080883,0,1,Collision,8
134,-14.0,5,6.32000207901001,7.984084606170654,0.6705884290646641,0,1,Collision,8
135,-14.0,17,61.4882698059082,4.948840141296387,0.66857666377747,0,1,Collision,8
136,-7.0,23,7.759389400482178,6.891967296600342,0.6665709337861376,0,1,Collision,8
137,-21.0,34,6.470085144042969,-6.577854156494141,0.6645712209847792,0,1,Collision,8
138,-20.0,19,3.0577352046966553,7.988147735595703,0.6625775073218249,0,1,Collision,8
139,-12.0,12,9.302567481994629,0.6836552023887634,0.6605897747998594,0,1,Collision,8
140,-18.0,8,5.779986381530762,2.7848498821258545,0.6586080054754598,0,1,Collision,8
141,-16.0,6,15.197772979736328,6.466686248779297,0.6566321814590335,0,1,Collision,8
142,-17.0,10,5.012585639953613,-0.3069572448730469,0.6546622849146564,0,1,Collision,8
143,-10.0,28,5.215757369995117,3.6792211532592773,0.6526982980599124,0,1,Collision,8
144,-22.0,13,13.884252548217773,-0.5729445219039917,0.6507402031657327,0,1,Collision,8
145,-12.0,13,6.756358623504639,8.828470230102539,0.6487879825562355,0,1,Collision,8
146,-15.0,11,2.668109893798828,9.371737480163574,0.6468416186085668,0,1,Collision,8
147,-20.0,3,7.778623580932617,9.371737480163574,0.6449010937527411,0,1,Collision,8
148,-18.0,19,5.811308860778809,-3.051079750061035,0.6429663904714829,0,1,Collision,8
149,-17.0,16,37.91740417480469,0.6006870269775391,0.6410374913000684,0,1,Collision,8
150,-21.0,18,4.491669654846191,-0.74115389585495,0.6391143788261682,0,1,Collision,8
151,-20.0,3,11.085711479187012,-0.74115389585495,0.6371970356896897,0,1,Collision,8
152,-29.0,44,2.105140209197998,5.189570426940918,0.6352854445826206,0,1,Collision,8
153,-18.0,11,7.62617301940918,-2.067592144012451,0.6333795882488727,0,1,Collision,8
154,-22.0,20,8.65499496459961,6.69885778427124,0.6314794494841262,0,1,Collision,8
155,-18.0,4,6.181705474853516,6.69885778427124,0.6295850111356738,0,1,Collision,8
156,-19.0,9,4.458334445953369,2.3464150428771973,0.6276962561022668,0,1,Collision,8
157,-20.0,20,6.721462726593018,-3.3801028728485107,0.62581316733396,0,1,Collision,8
158,-13.0,11,2.4217896461486816,9.258466720581055,0.623935727831958,0,1,Collision,8
159,-19.0,6,9.897917747497559,10.912750244140625,0.6220639206484622,0,1,Collision,8
160,-24.0,32,4.778188705444336,3.5992839336395264,0.6201977288865168,0,1,Collision,8
161,-11.0,12,17.225318908691406,10.062469482421875,0.6183371356998573,0,1,Collision,8
162,-18.0,12,16.464508056640625,10.062469482421875,0.6164821242927577,0,1,Collision,8
163,-20.0,34,13.25551986694336,4.778312683105469,0.6146326779198794,0,1,Collision,8
164,-23.0,17,9.442008972167969,8.383591651916504,0.6127887798861198,0,1,Collision,8
165,-16.0,16,15.776907920837402,9.606992721557617,0.6109504135464614,0,1,Collision,8
166,-13.0,23,8.308976173400879,-0.47306346893310547,0.609117562305822,0,1,Collision,8
